N,error
0.5,0.142064
0.333333,0.07011
0.25,0.0431852
0.2,0.0298887
0.166667,0.022223
0.142857,0.0173436
0.125,0.0140163
0.111111,0.0116295
0.1,0.00984956
0.0909091,0.00848077
0.0833333,0.0074016
0.0769231,0.00653308
0.0714286,0.00582188
0.0666667,0.00523084
0.0625,0.00473336
0.0588235,0.00430997
0.0555556,0.00394609
0.0526316,0.00363064
0.05,0.00335507
0.047619,0.00311266
0.0454545,0.00289808
0.0434783,0.00270706
0.0416667,0.00253613
0.04,0.00238245
0.0384615,0.00224369
0.037037,0.00211788
0.0357143,0.00200341
0.0344828,0.00189888
0.0333333,0.00180314
0.0322581,0.00171518
0.03125,0.00163414
0.030303,0.00155929
0.0294118,0.00148998
0.0285714,0.00142565
0.0277778,0.00136583
0.027027,0.00131007
0.0263158,0.00125801
0.025641,0.0012093
0.025,0.00116366
0.0243902,0.00112082
0.0238095,0.00108054
0.0232558,0.00104262
0.0227273,0.00100686
0.0222222,0.000973106
0.0217391,0.000941194
0.0212766,0.000910988
0.0208333,0.000882364
0.0204082,0.000855209
0.02,0.000829417
0.0196078,0.000804897
0.0192308,0.000781561
0.0188679,0.000759332
0.0185185,0.000738136
0.0181818,0.000717908
0.0178571,0.000698588
0.0175439,0.000680119
0.0172414,0.000662449
0.0169492,0.000645531
0.0166667,0.000629322
0.0163934,0.000613779
0.016129,0.000598866
0.015873,0.000584547
0.015625,0.00057079
0.0153846,0.000557564
0.0151515,0.000544841
0.0149254,0.000532594
0.0147059,0.0005208
0.0144928,0.000509434
0.0142857,0.000498476
0.0140845,0.000487905
0.0138889,0.000477703
0.0136986,0.000467851
0.0135135,0.000458334
0.0133333,0.000449134
0.0131579,0.000440238
0.012987,0.000431632
0.0128205,0.000423303
0.0126582,0.000415239
0.0125,0.000407427
0.0123457,0.000399857
0.0121951,0.000392518
0.0120482,0.000385402
0.0119048,0.000378498
0.0117647,0.000371797
0.0116279,0.000365292
0.0114943,0.000358974
0.0113636,0.000352837
0.011236,0.000346872
0.0111111,0.000341073
0.010989,0.000335435
0.0108696,0.00032995
0.0107527,0.000324612
0.0106383,0.000319418
0.0105263,0.00031436
0.0104167,0.000309434
0.0103093,0.000304636
0.0102041,0.00029996
0.010101,0.000295403
