xi,u,u_exact,residual
0,-7.73752e-17,0,7.73752e-17
0.010101,-0.00499949,-0.00499949,-2.35922e-16
0.020202,-0.00989695,-0.00989695,-5.48173e-16
0.030303,-0.0146924,-0.0146924,-8.62158e-16
0.040404,-0.0193858,-0.0193858,-1.19002e-15
0.0505051,-0.0239771,-0.0239771,-1.50227e-15
0.0606061,-0.0284665,-0.0284665,-1.83187e-15
0.0707071,-0.0328538,-0.0328538,-2.15106e-15
0.0808081,-0.0371391,-0.0371391,-2.49106e-15
0.0909091,-0.0413223,-0.0413223,-2.81025e-15
0.10101,-0.0454035,-0.0454035,-3.1572e-15
0.111111,-0.0493827,-0.0493827,-3.4972e-15
0.121212,-0.0532599,-0.0532599,-3.83721e-15
0.131313,-0.057035,-0.057035,-4.21191e-15
0.141414,-0.0607081,-0.0607081,-4.55885e-15
0.151515,-0.0642792,-0.0642792,-4.96825e-15
0.161616,-0.0677482,-0.0677482,-5.34295e-15
0.171717,-0.0711152,-0.0711152,-5.75928e-15
0.181818,-0.0743802,-0.0743802,-6.14786e-15
0.191919,-0.0775431,-0.0775431,-6.56419e-15
0.20202,-0.080604,-0.080604,-6.99441e-15
0.212121,-0.0835629,-0.0835629,-7.36911e-15
0.222222,-0.0864198,-0.0864198,-7.79932e-15
0.232323,-0.0891746,-0.0891746,-8.20177e-15
0.242424,-0.0918274,-0.0918274,-8.60423e-15
0.252525,-0.0943781,-0.0943781,-9.02056e-15
0.262626,-0.0968269,-0.0968269,-9.49241e-15
0.272727,-0.0991736,-0.0991736,-9.90874e-15
0.282828,-0.101418,-0.101418,-1.04083e-14
0.292929,-0.103561,-0.103561,-1.08524e-14
0.30303,-0.105601,-0.105601,-1.13104e-14
0.313131,-0.10754,-0.10754,-1.17545e-14
0.323232,-0.109377,-0.109377,-1.22125e-14
0.333333,-0.111111,-0.111111,-1.26288e-14
0.343434,-0.112744,-0.112744,-1.30312e-14
0.353535,-0.114274,-0.114274,-1.34337e-14
0.363636,-0.115702,-0.115702,-1.38778e-14
0.373737,-0.117029,-0.117029,-1.42664e-14
0.383838,-0.118253,-0.118253,-1.46272e-14
0.393939,-0.119376,-0.119376,-1.50574e-14
0.40404,-0.120396,-0.120396,-1.54321e-14
0.414141,-0.121314,-0.121314,-1.5779e-14
0.424242,-0.12213,-0.12213,-1.6126e-14
0.434343,-0.122845,-0.122845,-1.64868e-14
0.444444,-0.123457,-0.123457,-1.68893e-14
0.454545,-0.123967,-0.123967,-1.7264e-14
0.464646,-0.124375,-0.124375,-1.76248e-14
0.474747,-0.124681,-0.124681,-1.79717e-14
0.484848,-0.124885,-0.124885,-1.83187e-14
0.494949,-0.124987,-0.124987,-1.86795e-14
0.505051,-0.124987,-0.124987,-1.90126e-14
0.515152,-0.124885,-0.124885,-1.93318e-14
0.525253,-0.124681,-0.124681,-1.96787e-14
0.535354,-0.124375,-0.124375,-2.00118e-14
0.545455,-0.123967,-0.123967,-2.03587e-14
0.555556,-0.123457,-0.123457,-2.07473e-14
0.565657,-0.122845,-0.122845,-2.10942e-14
0.575758,-0.12213,-0.12213,-2.15383e-14
0.585859,-0.121314,-0.121314,-2.18575e-14
0.59596,-0.120396,-0.120396,-2.226e-14
0.606061,-0.119376,-0.119376,-2.25653e-14
0.616162,-0.118253,-0.118253,-2.29955e-14
0.626263,-0.117029,-0.117029,-2.32731e-14
0.636364,-0.115702,-0.115702,-2.36478e-14
0.646465,-0.114274,-0.114274,-2.39114e-14
0.656566,-0.112744,-0.112744,-2.42723e-14
0.666667,-0.111111,-0.111111,-2.45359e-14
0.676768,-0.109377,-0.109377,-2.48412e-14
0.686869,-0.10754,-0.10754,-2.5091e-14
0.69697,-0.105601,-0.105601,-2.5438e-14
0.707071,-0.103561,-0.103561,-2.566e-14
0.717172,-0.101418,-0.101418,-2.60209e-14
0.727273,-0.0991736,-0.0991736,-2.62151e-14
0.737374,-0.0968269,-0.0968269,-2.65482e-14
0.747475,-0.0943781,-0.0943781,-2.6798e-14
0.757576,-0.0918274,-0.0918274,-2.70756e-14
0.767677,-0.0891746,-0.0891746,-2.73392e-14
0.777778,-0.0864198,-0.0864198,-2.76723e-14
0.787879,-0.0835629,-0.0835629,-2.7936e-14
0.79798,-0.080604,-0.080604,-2.83107e-14
0.808081,-0.0775431,-0.0775431,-2.85189e-14
0.818182,-0.0743802,-0.0743802,-2.88797e-14
0.828283,-0.0711152,-0.0711152,-2.91434e-14
0.838384,-0.0677482,-0.0677482,-2.95042e-14
0.848485,-0.0642792,-0.0642792,-2.97679e-14
0.858586,-0.0607081,-0.0607081,-3.01148e-14
0.868687,-0.057035,-0.057035,-3.03924e-14
0.878788,-0.0532599,-0.0532599,-3.07324e-14
0.888889,-0.0493827,-0.0493827,-3.10724e-14
0.89899,-0.0454035,-0.0454035,-3.13638e-14
0.909091,-0.0413223,-0.0413223,-3.16899e-14
0.919192,-0.0371391,-0.0371391,-3.20299e-14
0.929293,-0.0328538,-0.0328538,-3.22936e-14
0.939394,-0.0284665,-0.0284665,-3.26787e-14
0.949495,-0.0239771,-0.0239771,-3.29493e-14
0.959596,-0.0193858,-0.0193858,-3.32755e-14
0.969697,-0.0146924,-0.0146924,-3.3612e-14
0.979798,-0.00989695,-0.00989695,-3.39173e-14
0.989899,-0.00499949,-0.00499949,-3.42512e-14
1,3.46083e-14,0,-3.46083e-14
